"Parámetro","Fecha","Hora","Valor","Unidad"
"SO2","2021-10-07","23:00 - 0:00","0.000","ppm"
"SO2","2021-10-07","0:00 - 1:00","0.000","ppm"
"SO2","2021-10-07","1:00 - 2:00","0.000","ppm"
"SO2","2021-10-07","2:00 - 3:00","0.000","ppm"
"SO2","2021-10-07","3:00 - 4:00","0.000","ppm"
"SO2","2021-10-07","4:00 - 5:00","0.000","ppm"
"SO2","2021-10-07","5:00 - 6:00","0.000","ppm"
"SO2","2021-10-07","6:00 - 7:00","0.000","ppm"
"SO2","2021-10-07","7:00 - 8:00","0.003","ppm"
"SO2","2021-10-07","8:00 - 9:00","0.015","ppm"
"SO2","2021-10-07","9:00 - 10:00","0.010","ppm"
"SO2","2021-10-07","10:00 - 11:00","0.006","ppm"
"SO2","2021-10-07","11:00 - 12:00","0.003","ppm"
"SO2","2021-10-07","12:00 - 13:00","0.002","ppm"
"SO2","2021-10-07","13:00 - 14:00","0.001","ppm"
"SO2","2021-10-07","15:00 - 16:00","0.001","ppm"
"SO2","2021-10-07","16:00 - 17:00","0.000","ppm"
"SO2","2021-10-07","17:00 - 18:00","0.000","ppm"
"SO2","2021-10-07","18:00 - 19:00","0.000","ppm"
"SO2","2021-10-07","19:00 - 20:00","0.000","ppm"
"SO2","2021-10-07","20:00 - 21:00","0.000","ppm"
"SO2","2021-10-07","21:00 - 22:00","0.000","ppm"
"SO2","2021-10-07","22:00 - 23:00","0.000","ppm"
"SO2","2021-10-08","23:00 - 0:00","0.003","ppm"
"SO2","2021-10-08","0:00 - 1:00","0.005","ppm"
"SO2","2021-10-08","1:00 - 2:00","0.015","ppm"
"SO2","2021-10-08","2:00 - 3:00","0.020","ppm"
"SO2","2021-10-08","3:00 - 4:00","0.019","ppm"
"SO2","2021-10-08","4:00 - 5:00","0.018","ppm"
"SO2","2021-10-08","5:00 - 6:00","0.019","ppm"
"SO2","2021-10-08","6:00 - 7:00","0.019","ppm"
"SO2","2021-10-08","7:00 - 8:00","0.013","ppm"
"SO2","2021-10-08","8:00 - 9:00","0.016","ppm"
"SO2","2021-10-08","9:00 - 10:00","0.018","ppm"
"SO2","2021-10-08","10:00 - 11:00","0.013","ppm"
"SO2","2021-10-08","11:00 - 12:00","0.008","ppm"
"SO2","2021-10-08","13:00 - 14:00","0.001","ppm"
"SO2","2021-10-08","14:00 - 15:00","0.000","ppm"
"SO2","2021-10-08","15:00 - 16:00","0.000","ppm"
"SO2","2021-10-08","16:00 - 17:00","0.001","ppm"
"SO2","2021-10-08","17:00 - 18:00","0.001","ppm"
