"Parámetro","Fecha","Hora","Valor","Unidad"
"NO","2021-06-08","9:00 - 10:00","0.018","ppm"
"NO","2021-06-08","10:00 - 11:00","0.014","ppm"
"NO","2021-06-08","11:00 - 12:00","0.018","ppm"
"NO","2021-06-08","12:00 - 13:00","0.008","ppm"
"NO","2021-06-08","13:00 - 14:00","0.006","ppm"
"NO","2021-06-08","14:00 - 15:00","0.003","ppm"
"NO","2021-06-08","15:00 - 16:00","0.001","ppm"
"NO","2021-06-08","16:00 - 17:00","0.001","ppm"
"NO","2021-06-08","17:00 - 18:00","0.001","ppm"
"NO","2021-06-08","18:00 - 19:00","0.001","ppm"
"NO","2021-06-08","19:00 - 20:00","0.003","ppm"
"NO","2021-06-08","20:00 - 21:00","0.005","ppm"
"NO","2021-06-08","21:00 - 22:00","0.009","ppm"
"NO","2021-06-08","22:00 - 23:00","0.010","ppm"
"NO","2021-06-09","13:00 - 14:00","0.005","ppm"
"NO","2021-06-09","14:00 - 15:00","0.002","ppm"
"NO","2021-06-09","15:00 - 16:00","0.002","ppm"
"NO","2021-06-09","16:00 - 17:00","0.002","ppm"
"NO","2021-06-09","17:00 - 18:00","0.004","ppm"
"NO","2021-06-09","18:00 - 19:00","0.002","ppm"
"NO","2021-06-09","19:00 - 20:00","0.008","ppm"
"NO","2021-06-09","20:00 - 21:00","0.014","ppm"
"NO","2021-06-09","21:00 - 22:00","0.006","ppm"
"NO","2021-06-09","22:00 - 23:00","0.002","ppm"
"NO","2021-06-10","10:00 - 11:00","0.011","ppm"
"NO","2021-06-10","11:00 - 12:00","0.007","ppm"
"NO","2021-06-10","12:00 - 13:00","0.006","ppm"
"NO","2021-06-10","13:00 - 14:00","0.004","ppm"
"NO","2021-06-10","14:00 - 15:00","0.002","ppm"
"NO","2021-06-10","15:00 - 16:00","0.002","ppm"
"NO","2021-06-10","16:00 - 17:00","0.005","ppm"
"NO","2021-06-10","17:00 - 18:00","0.002","ppm"
"NO","2021-06-10","18:00 - 19:00","0.001","ppm"
"NO","2021-06-10","19:00 - 20:00","0.001","ppm"
"NO","2021-06-10","20:00 - 21:00","0.000","ppm"
"NO","2021-06-10","21:00 - 22:00","0.003","ppm"
"NO","2021-06-10","22:00 - 23:00","0.012","ppm"
"NO","2021-06-11","7:00 - 8:00","0.070","ppm"
"NO","2021-06-11","8:00 - 9:00","0.018","ppm"
"NO","2021-06-11","9:00 - 10:00","0.010","ppm"
"NO","2021-06-11","10:00 - 11:00","0.008","ppm"
"NO","2021-06-11","11:00 - 12:00","0.009","ppm"
"NO","2021-06-11","12:00 - 13:00","0.009","ppm"
"NO","2021-06-11","13:00 - 14:00","0.005","ppm"
"NO","2021-06-11","14:00 - 15:00","0.005","ppm"
"NO","2021-06-11","15:00 - 16:00","0.004","ppm"
"NO","2021-06-11","16:00 - 17:00","0.004","ppm"
"NO","2021-06-11","17:00 - 18:00","0.008","ppm"
"NO","2021-06-11","18:00 - 19:00","0.010","ppm"
"NO","2021-06-11","19:00 - 20:00","0.023","ppm"
"NO","2021-06-11","20:00 - 21:00","0.005","ppm"
"NO","2021-06-11","21:00 - 22:00","0.000","ppm"
"NO","2021-06-11","22:00 - 23:00","0.001","ppm"
"NO","2021-06-12","23:00 - 0:00","0.005","ppm"
"NO","2021-06-12","3:00 - 4:00","0.000","ppm"
"NO","2021-06-12","4:00 - 5:00","0.002","ppm"
"NO","2021-06-12","5:00 - 6:00","0.006","ppm"
"NO","2021-06-12","6:00 - 7:00","0.021","ppm"
"NO","2021-06-12","7:00 - 8:00","0.021","ppm"
"NO","2021-06-12","8:00 - 9:00","0.005","ppm"
"NO","2021-06-12","9:00 - 10:00","0.013","ppm"
"NO","2021-06-12","10:00 - 11:00","0.011","ppm"
"NO","2021-06-12","11:00 - 12:00","0.011","ppm"
"NO","2021-06-12","12:00 - 13:00","0.009","ppm"
"NO","2021-06-12","13:00 - 14:00","0.007","ppm"
"NO","2021-06-12","14:00 - 15:00","0.003","ppm"
"NO","2021-06-12","15:00 - 16:00","0.003","ppm"
"NO","2021-06-12","16:00 - 17:00","0.004","ppm"
"NO","2021-06-12","17:00 - 18:00","0.005","ppm"
"NO","2021-06-12","18:00 - 19:00","0.005","ppm"
"NO","2021-06-12","19:00 - 20:00","0.012","ppm"
"NO","2021-06-12","20:00 - 21:00","0.016","ppm"
"NO","2021-06-12","21:00 - 22:00","0.007","ppm"
"NO","2021-06-12","22:00 - 23:00","0.001","ppm"
"NO","2021-06-13","4:00 - 5:00","0.003","ppm"
"NO","2021-06-13","5:00 - 6:00","0.002","ppm"
"NO","2021-06-13","6:00 - 7:00","0.019","ppm"
"NO","2021-06-13","7:00 - 8:00","0.010","ppm"
"NO","2021-06-13","8:00 - 9:00","0.009","ppm"
"NO","2021-06-13","9:00 - 10:00","0.009","ppm"
"NO","2021-06-13","10:00 - 11:00","0.007","ppm"
"NO","2021-06-13","11:00 - 12:00","0.008","ppm"
"NO","2021-06-13","12:00 - 13:00","0.008","ppm"
"NO","2021-06-13","13:00 - 14:00","0.005","ppm"
"NO","2021-06-13","14:00 - 15:00","0.003","ppm"
"NO","2021-06-13","15:00 - 16:00","0.002","ppm"
"NO","2021-06-13","16:00 - 17:00","0.001","ppm"
"NO","2021-06-13","17:00 - 18:00","0.002","ppm"
"NO","2021-06-13","18:00 - 19:00","0.002","ppm"
"NO","2021-06-13","19:00 - 20:00","0.001","ppm"
"NO","2021-06-13","20:00 - 21:00","0.001","ppm"
"NO","2021-06-13","21:00 - 22:00","0.004","ppm"
"NO","2021-06-13","22:00 - 23:00","0.001","ppm"
"NO","2021-06-14","3:00 - 4:00","0.000","ppm"
"NO","2021-06-14","4:00 - 5:00","0.000","ppm"
"NO","2021-06-14","5:00 - 6:00","0.003","ppm"
