"Parámetro","Fecha","Hora","Valor","Unidad"
"NO2","2021-10-07","23:00 - 0:00","0.037","ppm"
"NO2","2021-10-07","0:00 - 1:00","0.033","ppm"
"NO2","2021-10-07","1:00 - 2:00","0.026","ppm"
"NO2","2021-10-07","2:00 - 3:00","0.019","ppm"
"NO2","2021-10-07","3:00 - 4:00","0.019","ppm"
"NO2","2021-10-07","4:00 - 5:00","0.020","ppm"
"NO2","2021-10-07","5:00 - 6:00","0.025","ppm"
"NO2","2021-10-07","6:00 - 7:00","0.035","ppm"
"NO2","2021-10-07","7:00 - 8:00","0.035","ppm"
"NO2","2021-10-07","8:00 - 9:00","0.035","ppm"
"NO2","2021-10-07","9:00 - 10:00","0.034","ppm"
"NO2","2021-10-07","10:00 - 11:00","0.031","ppm"
"NO2","2021-10-07","11:00 - 12:00","0.030","ppm"
"NO2","2021-10-07","12:00 - 13:00","0.031","ppm"
"NO2","2021-10-07","13:00 - 14:00","0.036","ppm"
"NO2","2021-10-07","15:00 - 16:00","0.023","ppm"
"NO2","2021-10-07","16:00 - 17:00","0.021","ppm"
"NO2","2021-10-07","17:00 - 18:00","0.030","ppm"
"NO2","2021-10-07","19:00 - 20:00","0.031","ppm"
"NO2","2021-10-07","20:00 - 21:00","0.023","ppm"
"NO2","2021-10-07","21:00 - 22:00","0.027","ppm"
"NO2","2021-10-07","22:00 - 23:00","0.029","ppm"
"NO2","2021-10-08","23:00 - 0:00","0.021","ppm"
"NO2","2021-10-08","0:00 - 1:00","0.017","ppm"
"NO2","2021-10-08","1:00 - 2:00","0.028","ppm"
"NO2","2021-10-08","2:00 - 3:00","0.031","ppm"
"NO2","2021-10-08","3:00 - 4:00","0.030","ppm"
"NO2","2021-10-08","4:00 - 5:00","0.031","ppm"
"NO2","2021-10-08","5:00 - 6:00","0.037","ppm"
"NO2","2021-10-08","7:00 - 8:00","0.042","ppm"
"NO2","2021-10-08","8:00 - 9:00","0.046","ppm"
"NO2","2021-10-08","9:00 - 10:00","0.044","ppm"
"NO2","2021-10-08","10:00 - 11:00","0.036","ppm"
"NO2","2021-10-08","11:00 - 12:00","0.042","ppm"
"NO2","2021-10-08","13:00 - 14:00","0.019","ppm"
"NO2","2021-10-08","14:00 - 15:00","0.019","ppm"
"NO2","2021-10-08","15:00 - 16:00","0.017","ppm"
"NO2","2021-10-08","16:00 - 17:00","0.015","ppm"
"NO2","2021-10-08","17:00 - 18:00","0.025","ppm"
